time,left,mid,right
704,0.99976811969416,0.99910834236313,0.99879570996693
705,0.99977144192658,0.99912111746231,0.99881296426272
706,0.99977471656017,0.99913370952805,0.99882997135002
707,0.99977794427692,0.99914612118275,0.99884673477068
708,0.99978112574901,0.99915835501121,0.99886325801578
709,0.99978426163901,0.99917041356122,0.99887954452642
710,0.99978735259998,0.99918229934405,0.99889559769437
711,0.99979039927565,0.99919401483501,0.99891142086282
712,0.9997934023005,0.99920556247392,0.99892701732706
713,0.99979636229994,0.99921694466565,0.99894239033515
714,0.9997992798904,0.99922816378064,0.99895754308863
715,0.99980215567949,0.99923922215534,0.99897247874317
716,0.99980499026612,0.99925012209274,0.99898720040922
717,0.99980778424061,0.99926086586281,0.99900171115268
718,0.99981053818482,0.99927145570304,0.9990160139955
719,0.99981325267229,0.99928189381882,0.99903011191636
720,0.99981592826832,0.99929218238396,0.99904400785125
721,0.99981856553012,0.99930232354114,0.99905770469408
722,0.99982116500693,0.99931231940232,0.99907120529733
723,0.9998237272401,0.99932217204921,0.99908451247259
724,0.99982625276324,0.99933188353368,0.99909762899117
725,0.99982874210229,0.99934145587823,0.99911055758467
726,0.9998311957757,0.99935089107636,0.99912330094558
727,0.99983361429444,0.99936019109302,0.99913586172777
728,0.9998359981622,0.999369357865,0.99914824254713
729,0.99983834787542,0.99937839330135,0.99916044598205
730,0.99984066392347,0.99938729928375,0.99917247457397
731,0.99984294678866,0.99939607766695,0.99918433082793
732,0.99984519694642,0.9994047302791,0.99919601721308
733,0.99984741486536,0.99941325892217,0.9992075361632
734,0.99984960100738,0.9994216653723,0.99921889007718
735,0.99985175582776,0.99942995138021,0.99923008131956
736,0.99985387977525,0.9994381186715,0.99924111222099
737,0.99985597329219,0.99944616894708,0.99925198507874
738,0.99985803681455,0.99945410388347,0.99926270215714
739,0.99986007077209,0.99946192513317,0.99927326568812
740,0.99986207558839,0.99946963432503,0.99928367787159
741,0.99986405168097,0.99947723306452,0.99929394087598
742,0.99986599946136,0.99948472293414,0.99930405683861
743,0.9998679193352,0.99949210549371,0.99931402786621
744,0.99986981170232,0.9994993822807,0.99932385603532
745,0.99987167695681,0.99950655481055,0.99933354339272
746,0.99987351548714,0.99951362457699,0.99934309195588
747,0.99987532767618,0.99952059305234,0.99935250371334
748,0.99987711390133,0.99952746168785,0.99936178062517
749,0.9998788745346,0.99953423191394,0.99937092462335
750,0.99988060994264,0.99954090514058,0.99937993761219
751,0.99988232048687,0.9995474827575,0.9993888214687
752,0.99988400652351,0.99955396613455,0.999397578043
753,0.99988566840371,0.99956035662192,0.99940620915872
754,0.99988730647355,0.99956665555048,0.99941471661335
755,0.99988892107417,0.99957286423204,0.99942310217862
756,0.99989051254183,0.99957898395958,0.99943136760089
757,0.99989208120797,0.99958501600759,0.99943951460148
758,0.99989362739926,0.99959096163228,0.99944754487707
759,0.99989515143771,0.99959682207187,0.99945546010001
760,0.99989665364071,0.99960259854683,0.99946326191872
761,0.99989813432112,0.99960829226017,0.99947095195796
762,0.99989959378728,0.99961390439763,0.99947853181925
763,0.99990103234315,0.99961943612798,0.99948600308115
764,0.99990245028831,0.99962488860324,0.9994933672996
765,0.99990384791806,0.99963026295894,0.99950062600824
766,0.99990522552347,0.99963556031431,0.99950778071876
767,0.99990658339143,0.99964078177256,0.99951483292117
768,0.99990792180473,0.99964592842111,0.99952178408414
769,0.9999092410421,0.99965100133178,0.99952863565531
770,0.99991054137828,0.99965600156103,0.99953538906155
771,0.99991182308408,0.9996609301502,0.99954204570932
772,0.99991308642643,0.99966578812571,0.9995486069849
773,0.99991433166841,0.99967057649926,0.99955507425474
774,0.99991555906936,0.99967529626805,0.99956144886567
775,0.9999167688849,0.99967994841503,0.99956773214527
776,0.99991796136697,0.99968453390903,0.99957392540206
777,0.99991913676393,0.999689053705,0.99958002992584
778,0.99992029532055,0.99969350874424,0.99958604698791
779,0.99992143727812,0.99969789995453,0.99959197784138
780,0.99992256287445,0.99970222825037,0.99959782372137
781,0.99992367234396,0.99970649453317,0.99960358584535
782,0.9999247659177,0.9997106996914,0.9996092654133
783,0.99992584382341,0.99971484460081,0.99961486360805
784,0.99992690628559,0.99971893012462,0.99962038159545
785,0.99992795352548,0.99972295711366,0.99962582052466
786,0.9999289857612,0.99972692640659,0.99963118152838
787,0.9999300032077,0.99973083883003,0.99963646572308
788,0.99993100607688,0.99973469519877,0.99964167420921
789,0.99993199457759,0.99973849631594,0.9996468080715
790,0.9999329689157,0.99974224297313,0.9996518683791
791,0.99993392929412,0.99974593595062,0.99965685618586
792,0.99993487591285,0.9997495760175,0.99966177253051
793,0.99993580896903,0.99975316393183,0.99966661843693
794,0.99993672865699,0.99975670044082,0.99967139491431
795,0.99993763516824,0.99976018628098,0.99967610295739
796,0.99993852869158,0.99976362217826,0.99968074354663
797,0.99993940941309,0.9997670088482,0.99968531764849
798,0.99994027751619,0.9997703469961,0.99968982621555
799,0.99994113318166,0.99977363731716,0.99969427018676
800,0.99994197658771,0.99977688049661,0.99969865048758
801,0.99994280790998,0.99978007720987,0.99970296803027
802,0.99994362732159,0.99978322812266,0.99970722371397
803,0.9999444349932,0.99978633389119,0.99971141842497
804,0.99994523109301,0.99978939516227,0.99971555303683
805,0.9999460157868,0.99979241257341,0.99971962841062
806,0.99994678923801,0.99979538675302,0.99972364539507
807,0.99994755160771,0.99979831832049,0.99972760482674
808,0.99994830305466,0.99980120788634,0.99973150753021
809,0.99994904373536,0.99980405605235,0.99973535431825
810,0.99994977380407,0.99980686341165,0.99973914599197
811,0.99995049341281,0.99980963054891,0.99974288334102
812,0.99995120271147,0.99981235804041,0.99974656714373
813,0.99995190184774,0.99981504645415,0.99975019816728
814,0.99995259096724,0.99981769635002,0.99975377716784
815,0.99995327021348,0.99982030827988,0.99975730489079
816,0.99995393972792,0.99982288278769,0.99976078207077
817,0.99995459964998,0.9998254204096,0.99976420943195
818,0.99995525011709,0.99982792167408,0.9997675876881
819,0.99995589126474,0.99983038710206,0.99977091754276
820,0.99995652322643,0.99983281720696,0.99977419968939
821,0.99995714613378,0.99983521249487,0.99977743481153
822,0.99995776011651,0.99983757346464,0.99978062358292
823,0.99995836530249,0.99983990060794,0.99978376666763
824,0.99995896181775,0.99984219440943,0.99978686472023
825,0.99995954978653,0.99984445534679,0.99978991838593
826,0.99996012933126,0.9998466838909,0.99979292830066
827,0.99996070057265,0.99984888050586,0.99979589509126
828,0.99996126362966,0.99985104564912,0.99979881937559
829,0.99996181861955,0.9998531797716,0.99980170176264
830,0.9999623656579,0.99985528331774,0.9998045428527
831,0.99996290485863,0.99985735672561,0.99980734323744
832,0.99996343633405,0.99985940042703,0.99981010350007
833,0.99996396019482,0.99986141484761,0.99981282421542
834,0.99996447655005,0.99986340040685,0.9998155059501
835,0.99996498550727,0.99986535751828,0.99981814926261
836,0.99996548717249,0.99986728658947,0.99982075470344
837,0.99996598165016,0.99986918802216,0.99982332281517
838,0.99996646904328,0.99987106221235,0.99982585413265
839,0.99996694945333,0.99987290955034,0.99982834918303
840,0.99996742298039,0.99987473042085,0.99983080848593
841,0.99996788972304,0.9998765252031,0.99983323255351
842,0.99996834977851,0.99987829427086,0.99983562189061
843,0.9999688032426,0.99988003799254,0.99983797699481
844,0.99996925020975,0.99988175673131,0.99984029835659
845,0.99996969077304,0.99988345084508,0.99984258645939
846,0.99997012502422,0.99988512068668,0.99984484177972
847,0.99997055305372,0.99988676660386,0.99984706478726
848,0.9999709749507,0.99988838893939,0.99984925594498
849,0.999971390803,0.99988998803114,0.99985141570919
850,0.99997180069724,0.99989156421212,0.99985354452968
851,0.99997220471878,0.9998931178106,0.9998556428498
852,0.99997260295176,0.99989464915011,0.99985771110653
853,0.99997299547911,0.99989615854957,0.99985974973061
854,0.99997338238258,0.99989764632332,0.99986175914659
855,0.99997376374274,0.9998991127812,0.99986373977294
856,0.99997413963902,0.99990055822862,0.99986569202215
857,0.9999745101497,0.99990198296659,0.99986761630078
858,0.99997487535194,0.99990338729183,0.99986951300958
859,0.99997523532179,0.99990477149679,0.99987138254355
860,0.99997559013423,0.99990613586976,0.99987322529204
861,0.99997593986314,0.99990748069486,0.99987504163881
862,0.99997628458137,0.99990880625217,0.99987683196213
